warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,Snowman,F3P_AO_count,F3P_AOs
Broomstick,15,3.47,0,0,0,0,5,0,4,"['black-diamond', 'the-olympiad', 'the-ridge', 'the-colosseum']"
Chum Bucket,26,46.42,2,2,1,0,3,0,9,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz', 'the-grove', 'el-coyote', 'the-colosseum', 'black-rock']"
Dauber,20,49.04,4,1,5,0,2,0,5,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'the-grove']"
Deja vu,31,41.49,10,3,2,1,1,1,6,"['the-ridge', 'black-diamond', 'black-rock', 'the-colosseum', 'the-olympiad', 'ravens-nest']"
Depends (3rdF Q),21,47.09,2,1,9,0,1,0,7,"['the-olympiad', 'black-diamond', 'ravens-nest', 'the-colosseum', 'black-rock', 'the-silo', 'da-grizz']"
Dilly Dilly,19,27.8,2,0,0,0,1,0,3,"['the-ridge', 'the-colosseum', 'black-diamond']"
Duck Hunt,24,63.550000000000004,1,1,0,0,4,0,6,"['el-coyote', 'black-diamond', 'da-grizz', 'ravens-nest', 'da-grizz-ebc', 'black-rock']"
Foghorn,15,7.43,3,0,4,0,3,0,6,"['black-diamond', 'the-grove', 'the-silo', 'the-ridge', 'the-colosseum', 'the-olympiad']"
Foreclosure,27,55.83,5,3,0,0,8,1,8,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge', 'black-rock', 'the-colosseum', 'the-grove', 'ravens-nest']"
Hodl,19,1.55,4,2,3,0,2,0,6,"['the-ridge', 'da-grizz', 'the-silo', 'the-colosseum', 'black-diamond', 'dmz']"
Mr. Kotter,35,93.84,4,4,5,2,8,1,12,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad', 'the-silo', 'the-grove', 'da-grizz-ebc', 'da-grizz', 'dmz']"
Party in a bottle,14,3.0,3,2,0,0,1,0,5,"['the-ridge', 'the-colosseum', 'black-rock', 'black-diamond', 'the-silo']"
Pull-up,27,78.92,7,0,4,0,5,0,8,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo', 'dmz', 'the-colosseum', 'the-olympiad', 'da-grizz-ebc']"
Slackbot,13,13.36,13,0,0,1,0,2,0,[]
Soft Hands,22,13.73,3,2,0,0,1,0,6,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'black-rock', 'el-coyote']"
Sparkler,25,85.13,3,0,0,1,8,0,7,"['black-diamond', 'the-grove', 'the-silo', 'black-rock', 'the-ridge', 'the-colosseum', 'ravens-nest']"
Spit Valve,20,28.990000000000002,12,1,0,0,2,1,7,"['the-colosseum', 'the-ridge', 'the-grove', 'el-coyote', 'the-olympiad', 'black-diamond', 'dmz']"
Stitch,5,2.7,1,0,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
