warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,4,3.47,0,0,0,0,2,3,"['black-diamond', 'the-olympiad', 'the-ridge']"
Chum Bucket,6,10.77,0,1,0,0,1,5,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz']"
Dauber,5,10.47,1,0,1,0,0,3,"['the-olympiad', 'the-ridge', 'the-colosseum']"
Deja vu,8,4.42,1,1,0,0,0,0,[]
Depends (3rdF Q),4,7.82,0,0,2,0,1,3,"['the-olympiad', 'black-diamond', 'ravens-nest']"
Dilly Dilly,2,19.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,9,15.65,1,0,0,0,3,3,"['el-coyote', 'black-diamond', 'da-grizz']"
Foghorn,4,4.4,1,0,1,0,2,3,"['black-diamond', 'the-grove', 'the-silo']"
Foreclosure,7,10.870000000000001,1,1,0,0,5,3,"['the-olympiad', 'black-diamond', 'the-silo']"
Mr. Kotter,7,14.870000000000001,0,1,0,1,1,6,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond']"
Party in a bottle,4,3.0,2,1,0,0,0,3,"['the-ridge', 'the-colosseum', 'black-rock']"
Pull-up,6,15.05,2,0,1,0,1,4,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo']"
Slackbot,5,4.42,5,0,0,0,0,0,[]
Sparkler,6,18.85,1,0,0,1,5,3,"['black-diamond', 'the-grove', 'the-silo']"
Spit Valve,6,6.1,4,0,0,0,0,2,"['the-colosseum', 'the-ridge']"
Stitch,2,2.7,0,0,0,0,0,2,"['the-grove', 'the-silo']"
