week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
6,Comet,Dauber,143,18,70,5,21,5,3,5,5,3,1,1,"black-diamond, da-grizz, el-coyote, the-colosseum, the-olympiad"
5,Dasher,Dog House,130,18,62,5,18,5,3,5,5,3,,1,"black-diamond, el-coyote, the-colosseum, the-olympiad, the-ridge"
6,Comet,Meta,127,15,60,5,18,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge"
5,Comet,Dauber,124,18,57,5,16,5,3,5,5,3,1,1,"black-diamond, da-grizz, el-coyote, the-colosseum, the-olympiad"
4,Dasher,Dog House,111,18,52,5,15,5,3,5,5,3,,,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
6,Dasher,Dog House,110,15,52,,15,5,3,5,5,3,1,,"black-diamond, el-coyote, the-colosseum, the-olympiad"
4,Comet,Dauber,109,18,49,5,14,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge"
3,Comet,Dauber,105,18,46,5,13,5,3,5,5,3,1,1,"el-coyote, ravens-nest, the-grove, the-olympiad, the-ridge"
5,Prancer,Spit Valve,105,18,42,5,12,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
3,Comet,Meta,104,18,46,5,13,5,3,5,5,3,1,,"el-coyote, ravens-nest, the-grove, the-olympiad, the-ridge"
3,Dasher,Dog House,104,18,46,5,13,5,3,5,5,3,,1,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
6,Comet,Hot Lava,101,18,42,5,12,5,3,5,5,,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-silo"
6,Prancer,Hank Hill,100,18,39,5,11,5,3,5,5,3,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-silo"
5,Comet,Hot Lava,99,18,39,5,11,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
5,Comet,Manhole,99,18,39,5,11,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
1,Comet,Dauber,96,18,39,5,11,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
2,Comet,Meta,96,18,40,5,11,5,3,5,5,3,1,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad, the-silo"
5,Comet,Meta,96,18,36,5,10,5,3,5,5,3,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
2,Dasher,Dog House,96,18,40,5,11,5,3,5,5,3,,1,"black-rock, da-grizz, el-coyote, the-colosseum, the-silo"
3,Dasher,Scratch and Dent,96,18,40,5,11,5,3,5,5,3,1,,"black-rock, el-coyote, the-colosseum, the-ridge, the-silo"
6,Prancer,Nemo,95,18,36,5,10,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-silo"
4,Dasher,Scratch and Dent,94,18,39,5,11,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-ridge, the-silo"
4,Prancer,Spit Valve,94,18,38,5,10,5,3,5,5,3,1,1,"black-diamond, da-grizz, el-coyote, ravens-nest, the-silo"
2,Comet,Dauber,93,18,37,5,10,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
5,Prancer,Hank Hill,93,15,36,5,10,5,3,5,5,3,1,,"black-rock, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Comet,Mahomes,92,18,36,5,10,5,3,5,5,3,1,1,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
5,Dasher,Scratch and Dent,92,18,33,5,9,5,3,5,5,3,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-ridge, the-silo"
2,Prancer,Spit Valve,92,18,37,5,10,5,3,5,5,3,1,,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad"
1,Comet,Hot Lava,91,18,36,5,10,5,3,5,5,3,1,,"black-rock, da-grizz, dmz, el-coyote, the-colosseum, the-olympiad"
3,Comet,Mahomes,91,18,36,5,10,5,3,5,5,3,1,,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
1,Comet,Manhole,91,18,36,5,10,5,3,5,5,3,1,,"black-rock, da-grizz, dmz, el-coyote, the-colosseum, the-olympiad"
1,Comet,Meta,91,18,36,5,10,5,3,5,5,3,1,,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
1,Dasher,Dog House,91,18,37,5,10,5,3,5,5,3,,,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge"
3,Prancer,Hank Hill,91,18,36,5,10,5,3,5,5,3,,1,"black-rock, el-coyote, ravens-nest, the-colosseum, the-grove, the-olympiad"
3,Prancer,Spit Valve,91,18,36,5,10,5,3,5,5,3,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-silo"
4,Comet,Manhole,90,18,36,5,10,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
6,Comet,Manhole,89,18,33,5,9,5,3,5,5,,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-silo"
6,Dancer,Pop-Tart,89,18,30,5,8,5,3,5,5,3,1,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad, the-ridge"
4,Prancer,Hank Hill,89,18,34,5,9,5,3,5,5,3,1,1,"black-diamond, black-rock, da-grizz, el-coyote, ravens-nest, the-grove"
6,Comet,Bob Villa,87,6,37,5,10,5,3,5,5,3,1,1,"black-diamond, black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
5,Dancer,Hodl,87,18,30,5,8,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-grove, the-olympiad, the-ridge, the-silo"
2,Prancer,Hank Hill,87,18,34,5,9,5,3,5,5,3,,,"black-rock, el-coyote, ravens-nest, the-grove, the-olympiad"
2,Comet,Hot Lava,86,18,33,5,9,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
3,Comet,Hot Lava,86,18,33,5,9,5,3,5,5,3,,,"black-rock, el-coyote, ravens-nest, the-colosseum, the-grove, the-olympiad, the-ridge"
4,Comet,Hot Lava,86,18,33,5,9,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-olympiad, the-silo"
2,Comet,Manhole,86,18,33,5,9,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, the-colosseum, the-grove, the-olympiad"
3,Comet,Manhole,86,18,33,5,9,5,3,5,5,3,,,"black-rock, el-coyote, ravens-nest, the-colosseum, the-grove, the-ridge"
6,Prancer,Spit Valve,86,18,27,5,7,5,3,5,5,3,1,1,"da-grizz, ravens-nest, the-colosseum, the-olympiad, the-silo"
2,Comet,Mahomes,85,15,34,5,9,5,3,5,5,3,1,,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
6,Dasher,Scratch and Dent,85,15,30,5,8,5,3,5,5,3,,,"el-coyote, ravens-nest, the-colosseum, the-grove, the-olympiad, the-silo"
6,Prancer,Depends (3rdF Q),85,15,30,5,8,5,3,5,5,3,,,"black-rock, da-grizz, el-coyote, ravens-nest, the-olympiad, the-silo"
6,Rudolph,Ricola,85,15,30,5,8,5,3,5,5,3,,1,"black-rock, da-grizz, el-coyote, ravens-nest, the-colosseum"
1,Comet,Bob Villa,84,18,33,5,9,5,,5,5,3,1,,"black-rock, el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
3,Dancer,Hodl,84,18,31,5,8,5,3,5,5,3,1,,"black-diamond, el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
2,Comet,Bob Villa,83,18,36,5,10,,,5,5,3,1,,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
6,Dancer,Hodl,82,18,24,5,6,5,3,5,5,3,1,1,"da-grizz, el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
4,Comet,Meta,81,12,37,,10,5,3,5,5,3,1,,"black-diamond, el-coyote, the-colosseum, the-olympiad"
