warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,12,3.47,0,0,0,0,4,4,"['black-diamond', 'the-olympiad', 'the-ridge', 'the-colosseum']"
Chum Bucket,21,41.42,2,2,1,0,3,8,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz', 'the-grove', 'el-coyote', 'the-colosseum']"
Dauber,17,40.01,3,1,4,0,2,5,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'the-grove']"
Deja vu,27,37.06,7,3,2,1,1,5,"['the-ridge', 'black-diamond', 'black-rock', 'the-colosseum', 'the-olympiad']"
Depends (3rdF Q),18,40.81,2,1,9,0,1,7,"['the-olympiad', 'black-diamond', 'ravens-nest', 'the-colosseum', 'black-rock', 'the-silo', 'da-grizz']"
Dilly Dilly,16,27.8,1,0,0,0,1,3,"['the-ridge', 'the-colosseum', 'black-diamond']"
Duck Hunt,24,21.97,1,1,0,0,4,6,"['el-coyote', 'black-diamond', 'da-grizz', 'ravens-nest', 'da-grizz-ebc', 'black-rock']"
Foghorn,14,7.43,3,0,4,0,3,6,"['black-diamond', 'the-grove', 'the-silo', 'the-ridge', 'the-colosseum', 'the-olympiad']"
Foreclosure,24,52.69,4,3,0,0,8,8,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge', 'black-rock', 'the-colosseum', 'the-grove', 'ravens-nest']"
Hodl,16,1.55,4,2,3,0,1,6,"['the-ridge', 'da-grizz', 'the-silo', 'the-colosseum', 'black-diamond', 'dmz']"
Mr. Kotter,29,70.24,3,4,4,2,6,11,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad', 'the-silo', 'the-grove', 'da-grizz-ebc', 'da-grizz']"
Party in a bottle,13,3.0,3,2,0,0,1,5,"['the-ridge', 'the-colosseum', 'black-rock', 'black-diamond', 'the-silo']"
Pull-up,23,69.85,7,0,4,0,4,8,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo', 'dmz', 'the-colosseum', 'the-olympiad', 'da-grizz-ebc']"
Slackbot,13,13.36,13,0,0,1,0,0,[]
Soft Hands,19,10.59,2,2,0,0,1,5,"['the-olympiad', 'the-ridge', 'the-colosseum', 'black-diamond', 'black-rock']"
Sparkler,23,72.13,3,0,0,1,8,7,"['black-diamond', 'the-grove', 'the-silo', 'black-rock', 'the-ridge', 'the-colosseum', 'ravens-nest']"
Spit Valve,17,28.990000000000002,10,1,0,0,2,6,"['the-colosseum', 'the-ridge', 'the-grove', 'el-coyote', 'the-olympiad', 'black-diamond']"
Stitch,5,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
