date,warrior,ao,type,notes
2026-01-03,Duck Hunt,da-grizz,Post,da-grizz - Homer's Cliffhanger Ruck
2026-01-03,Mr. Kotter,winter_warrior_2026,Donation,Donation
2026-01-03,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-03,Slackbot,downrange,Q,downrange - F3 Indy BC at Sesame Street
2026-01-03,Slackbot,downrange,Post,downrange - F3 Indy BC at Sesame Street
2026-01-03,Chum Bucket,2nd-f,2ndF,Holiday Party - FiA/F3
2026-01-03,Foreclosure,black-diamond,Post,downrange - Black Diamond Lift Club The Wood
2026-01-03,Foreclosure,downrange,Post,downrange - Ruck club the wood
2026-01-03,Deja vu,downrange,Post,downrange - Downrange
2026-01-03,Dilly Dilly,winter_warrior_2026,EC,4.2
2026-01-03,Party in a bottle,the-colosseum,Post,the-colosseum - Nemo’s ladder!
2026-01-03,Dilly Dilly,the-ridge,Q,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Dilly Dilly,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Dauber,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Chum Bucket,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Dauber,winter_warrior_2026,EC,2.97
2026-01-03,Party in a bottle,winter_warrior_2026,EC,1.5
2026-01-03,Broomstick,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Mr. Kotter,the-ridge,Post,the-ridge - Playground Pain Tour at The Ridge ??‍♂️?
2026-01-03,Foreclosure,2nd-f,2ndF,Holiday Party - FiA/F3
2026-01-03,Party in a bottle,2nd-f,2ndF,Holiday Party - FiA/F3
2026-01-04,Mr. Kotter,winter_warrior_2026,EC,6.2
2026-01-04,Mr. Kotter,2nd-f,2ndF,Slippery ruck
2026-01-04,Slackbot,winter_warrior_2026,EC,1.08
2026-01-04,Pull-up,winter_warrior_2026,EC,3.15
2026-01-04,Chum Bucket,winter_warrior_2026,EC,3.27
2026-01-04,Deja vu,2nd-f,2ndF,Slippery ruck
2026-01-04,Spit Valve,winter_warrior_2026,Snowman,Snowman
2026-01-04,Deja vu,winter_warrior_2026,EC,1.08
2026-01-04,Party in a bottle,winter_warrior_2026,EC,1.5
2026-01-05,Mr. Kotter,winter_warrior_2026,EC,5.9
2026-01-05,Spit Valve,downrange,Post,downrange - You call it’s with Finch
2026-01-05,Dilly Dilly,the-ridge,Post,the-ridge - Back to it with Pull up
2026-01-05,Foghorn,winter_warrior_2026,EC,4.4
2026-01-05,Duck Hunt,winter_warrior_2026,EC,4.57
2026-01-05,Slackbot,winter_warrior_2026,EC,1.02
2026-01-05,Duck Hunt,downrange,Post,downrange - Battle rocket VQ at dark water
2026-01-05,Dilly Dilly,winter_warrior_2026,EC,2.0
2026-01-05,Dauber,winter_warrior_2026,EC,2.93
2026-01-05,Pull-up,the-ridge,Q,the-ridge - Back to it with Pull up
2026-01-05,Slackbot,downrange,Q,downrange - Bootcamp at The Wood
2026-01-05,Deja vu,winter_warrior_2026,EC,1.02
2026-01-05,Slackbot,downrange,Post,downrange - Bootcamp at The Wood
2026-01-05,Dauber,winter_warrior_2026,"Error, fix the title of your backblast",Please delete
2026-01-05,Chum Bucket,winter_warrior_2026,EC,1.0
2026-01-05,Pull-up,winter_warrior_2026,EC,2.69
2026-01-05,Dauber,the-colosseum,Post,the-colosseum - Foundation Fun Run
2026-01-05,Sparkler,winter_warrior_2026,EC,4.4
2026-01-05,Pull-up,the-ridge,Post,the-ridge - Back to it with Pull up
2026-01-05,Foreclosure,winter_warrior_2026,EC,4.4
2026-01-05,Stitch,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Foghorn,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Foreclosure,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Chum Bucket,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Sparkler,the-silo,Post,the-silo - And this one time at Band Camp…
2026-01-05,Depends (3rdF Q),winter_warrior_2026,EC,2.25
2026-01-05,Spit Valve,winter_warrior_2026,EC,1.5
2026-01-05,Deja vu,downrange,Post,downrange - Bootcamp at The Wood
2026-01-06,Deja vu,winter_warrior_2026,EC,1.21
2026-01-06,Sparkler,winter_warrior_2026,EC,2.0
2026-01-06,Depends (3rdF Q),black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Slackbot,downrange,Q,downrange - Leg Day at 3 Rivers
2026-01-06,Deja vu,downrange,Post,downrange - Leg Day at 3 Rivers
2026-01-06,Spit Valve,downrange,Post,downrange - Run Club at the Wood
2026-01-06,Slackbot,downrange,Post,downrange - Leg Day at 3 Rivers
2026-01-06,Duck Hunt,winter_warrior_2026,EC,3.13
2026-01-06,Chum Bucket,winter_warrior_2026,EC,1.5
2026-01-06,Foreclosure,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Dilly Dilly,winter_warrior_2026,EC,5.0
2026-01-06,Pull-up,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Spit Valve,downrange,Q,downrange - Run Club at the Wood
2026-01-06,Sparkler,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Duck Hunt,downrange,Post,downrange - The Patriot (f3 Southsid3)
2026-01-06,Party in a bottle,black-rock,Post,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Party in a bottle,black-rock,Q,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Mr. Kotter,black-rock,Post,black-rock - Party in A Bottle Ruck & Coupon Dora
2026-01-06,Spit Valve,winter_warrior_2026,EC,3.0
2026-01-06,Sparkler,black-diamond,Q,black-diamond - Hard shit sparkler
2026-01-06,Chum Bucket,black-diamond,Post,black-diamond - Hard shit sparkler
2026-01-06,Slackbot,winter_warrior_2026,EC,1.21
2026-01-07,Deja vu,winter_warrior_2026,EC,1.11
2026-01-07,Chum Bucket,winter_warrior_2026,EC,2.0
2026-01-07,Spit Valve,winter_warrior_2026,EC,1.6
2026-01-07,Duck Hunt,winter_warrior_2026,EC,3.2
2026-01-07,Slackbot,winter_warrior_2026,EC,1.11
2026-01-07,Pull-up,winter_warrior_2026,EC,3.0
2026-01-07,Dauber,the-ridge,Q,the-ridge - Dauber's out and back
2026-01-07,Duck Hunt,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Foreclosure,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Sparkler,black-diamond,Post,downrange - Ricola's Black Diamond at 3R
2026-01-07,Dauber,3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Dauber,the-ridge,Post,the-ridge - Dauber's out and back
2026-01-07,Foghorn,3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Pull-up,the-silo,Post,the-silo - 1000DORA by CornerKick
2026-01-07,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,M Source Week#1
2026-01-07,Chum Bucket,dmz,Post,dmz - Curriers Field goal
2026-01-07,Depends (3rdF Q),ravens-nest,Post,ravens-nest - Ringo: Ravens nest – Tabata style
2026-01-07,Mr. Kotter,ravens-nest,Post,ravens-nest - Ringo: Ravens nest – Tabata style
2026-01-07,Sparkler,winter_warrior_2026,EC,2.0
2026-01-07,Dauber,winter_warrior_2026,EC,3.01
2026-01-07,Deja vu,downrange,Post,downrange - Rooney’s hill pain
2026-01-07,Foghorn,the-silo,Post,the-silo - 1000DORA by CornerKick
2026-01-07,Spit Valve,the-ridge,Post,the-ridge - Dauber's out and back
2026-01-08,Deja vu,downrange,Post,downrange - Bootcamp at The Campus. My Q
2026-01-08,Deja vu,downrange,Q,downrange - Bootcamp at The Campus. My Q
2026-01-08,Dauber,the-colosseum,Post,the-colosseum - Wing Stop Is Close To Home
2026-01-08,Pull-up,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Chum Bucket,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Party in a bottle,the-ridge,Post,the-ridge - Throwback Thursday 1994 at The Ridge with Gopher ?...
2026-01-08,Mr. Kotter,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Foreclosure,black-diamond,Q,black-diamond - Running With Bricks
2026-01-08,Duck Hunt,winter_warrior_2026,EC,3.0
2026-01-08,Foreclosure,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Broomstick,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Pull-up,winter_warrior_2026,EC,1.96
2026-01-08,Foreclosure,winter_warrior_2026,EC,3.0
2026-01-08,Sparkler,winter_warrior_2026,EC,3.0
2026-01-08,Duck Hunt,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Pull-up,3rd-f-qsource,QS/3rdF,Disruption
2026-01-08,Depends (3rdF Q),3rd-f-qsource,QS/3rdF,Disruption
2026-01-08,Depends (3rdF Q),winter_warrior_2026,EC,2.1
2026-01-08,Dilly Dilly,winter_warrior_2026,EC,5.0
2026-01-08,Dauber,winter_warrior_2026,EC,1.56
2026-01-08,Sparkler,black-diamond,Post,black-diamond - Running With Bricks
2026-01-08,Pull-up,3rd-f-qsource,Q,3rd-f-qsource - Disruption
