user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,125,31,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,155,22,20,<NA>,<NA>,<NA>
And1,Dancer,0,11,0,0,0,0,0
BABYMOMMA,Dasher,10,214,23,45,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,70,13,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,341,38,53,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,241,28,29,<NA>,<NA>,<NA>
Bob Villa,Comet,10,461,59,79,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,47,7,13,<NA>,<NA>,<NA>
Boomer,Prancer,20,449,46,87,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,20,4,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,172,22,55,<NA>,<NA>,<NA>
Bunker,Cupid,0,112,16,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,139,19,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,260,38,27,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,110,20,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,148,11,45,3,5,<NA>
Chum Bucket,Donner,20,420,44,65,<NA>,<NA>,<NA>
Cinderella,Dancer,20,308,37,49,<NA>,<NA>,<NA>
Circuit City,Prancer,0,47,12,8,3,5,0
Corner Kick,Donner,0,143,20,34,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,81,15,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,432,44,106,<NA>,<NA>,<NA>
DEADBOLT,Dancer,0,9,1,3,3,0,0
DJ Sump Pump,Comet,10,237,40,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,120,25,0,3,5,<NA>
Dauber,Comet,20,712,99,111,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,218,30,42,<NA>,<NA>,<NA>
Deliverance,Prancer,0,112,22,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,79,12,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,483,53,93,<NA>,<NA>,<NA>
Derailed,Blitzen,0,91,13,35,<NA>,<NA>,<NA>
Dilbert,Prancer,0,331,31,72,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,241,35,57,<NA>,<NA>,<NA>
Dog House,Dasher,20,677,96,105,<NA>,<NA>,<NA>
Doozie,Dasher,20,340,37,65,<NA>,<NA>,<NA>
Double dipper,Cupid,0,14,2,0,3,0,0
Dr. Loco,Rudolph,0,6,2,0,3,0,0
Drive By,Dasher,0,51,8,3,<NA>,<NA>,<NA>
Duck Hunt,Cupid,10,248,35,60,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,3,1,0,3,0,0
Eleanor,Dancer,0,22,2,0,3,0,0
Ferkus,Prancer,0,5,0,0,0,0,0
Fire Hose,Comet,0,33,5,0,3,5,<NA>
Fish Tape,Vixen,0,59,18,0,<NA>,<NA>,<NA>
Flo,Prancer,0,97,18,35,<NA>,<NA>,<NA>
Foghorn,Dancer,20,355,37,68,<NA>,<NA>,<NA>
Folgers,Rudolph,10,95,11,24,<NA>,<NA>,<NA>
Foreclosure,Rudolph,20,302,29,80,<NA>,<NA>,<NA>
Foundation,Blitzen,0,46,7,6,<NA>,<NA>,<NA>
Four Square,Dancer,0,6,1,3,3,0,0
Frontier,Comet,20,132,10,27,<NA>,<NA>,<NA>
Ginga,Vixen,0,41,12,0,<NA>,<NA>,<NA>
Glass Slipper,Prancer,0,14,3,0,3,0,0
Go Daddy,Vixen,0,14,2,0,3,0,<NA>
Gopher,Blitzen,10,35,4,3,<NA>,<NA>,<NA>
Great Clips,Cupid,0,11,1,0,<NA>,<NA>,<NA>
Grinch,Dasher,0,3,0,0,<NA>,<NA>,<NA>
Griner,Comet,0,5,0,0,0,0,<NA>
GrubX (CMW),Cupid,10,73,15,6,<NA>,<NA>,<NA>
Grunts,Rudolph,0,29,6,9,3,5,7
HGTV,Donner,0,12,3,0,<NA>,<NA>,<NA>
Hackman,Vixen,0,53,13,6,<NA>,<NA>,<NA>
HandsOn,Dancer,0,45,11,0,3,5,0
