date,warrior,ao,type,notes,notes_numeric,EC_miles,F3P_AO,is_post,is_q,is_2ndf,is_qs_3rdf,is_donation,is_black_diamond
2026-01-02,Foreclosure,the-olympiad,Post,the-olympiad - Running into the New Year,<NA>,0.0,the-olympiad,True,False,False,False,False,False
2026-01-02,Broomstick,the-olympiad,Post,the-olympiad - Running into the New Year,<NA>,0.0,the-olympiad,True,False,False,False,False,False
2026-01-02,Depends (3rdF Q),the-olympiad,Post,the-olympiad - Running into the New Year,<NA>,0.0,the-olympiad,True,False,False,False,False,False
2026-01-02,Mr. Kotter,the-colosseum,Post,the-colosseum - 21 x 7 w/ Juanita,<NA>,0.0,the-colosseum,True,False,False,False,False,False
2026-01-01,Pull-up,the-ridge,Post,the-ridge - Zimmer’s Plan C - Ruck Club,<NA>,0.0,the-ridge,True,False,False,False,False,False
2026-01-01,Sparkler,black-diamond,Post,black-diamond - Foghorn Brings In 2026,<NA>,0.0,black-diamond,True,False,False,False,False,True
2026-01-01,Broomstick,black-diamond,Post,black-diamond - Foghorn Brings In 2026,<NA>,0.0,black-diamond,True,False,False,False,False,True
2026-01-01,Duck Hunt,black-diamond,Post,black-diamond - Foghorn Brings In 2026,<NA>,0.0,black-diamond,True,False,False,False,False,True
2026-01-02,Duck Hunt,da-grizz,Post,da-grizz - 11x2xHank Hill,<NA>,0.0,da-grizz,True,False,False,False,False,False
2026-01-02,Sparkler,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG,<NA>,0.0,the-grove,True,False,False,False,False,False
2026-01-02,Pull-up,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG,<NA>,0.0,the-grove,True,False,False,False,False,False
2026-01-02,Stitch,the-grove,Post,the-grove - Foundation's Present Bootcamp at TG,<NA>,0.0,the-grove,True,False,False,False,False,False
2026-01-01,Mr. Kotter,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck,<NA>,0.0,el-coyote,True,False,False,False,False,False
2026-01-01,Duck Hunt,el-coyote,Q,el-coyote - Ducks Medicine Ball Ruck,<NA>,0.0,<NA>,False,True,False,False,False,False
2026-01-01,Duck Hunt,el-coyote,Post,el-coyote - Ducks Medicine Ball Ruck,<NA>,0.0,el-coyote,True,False,False,False,False,False
2026-01-01,Dilly Dilly,winter_warrior_2026,EC,2.0,2.0,2.0,<NA>,False,False,False,False,False,False
2026-01-02,Dilly Dilly,winter_warrior_2026,EC,1.0,1.0,1.0,<NA>,False,False,False,False,False,False
2026-01-01,Sparkler,winter_warrior_2026,EC,1.75,1.75,1.75,<NA>,False,False,False,False,False,False
2026-01-02,Sparkler,winter_warrior_2026,EC,5.7,5.7,5.7,<NA>,False,False,False,False,False,False
2026-01-01,Duck Hunt,winter_warrior_2026,EC,1.75,1.75,1.75,<NA>,False,False,False,False,False,False
2026-01-02,Pull-up,winter_warrior_2026,EC,4.25,4.25,4.25,<NA>,False,False,False,False,False,False
2026-01-01,Sparkler,winter_warrior_2026,Donation,Donation - Mobile Blood Donation (12/30),<NA>,0.0,<NA>,False,False,False,False,True,False
2026-01-01,F3Plainfield_IL,winter_warrior_2026,Donation,Donation - Mobile Blood Donation (12/30),<NA>,0.0,<NA>,False,False,False,False,True,False
2026-01-02,Foreclosure,winter_warrior_2026,EC,3.47,3.47,3.47,<NA>,False,False,False,False,False,False
2026-01-02,Broomstick,winter_warrior_2026,EC,3.47,3.47,3.47,<NA>,False,False,False,False,False,False
2026-01-02,Depends (3rdF Q),winter_warrior_2026,EC,3.47,3.47,3.47,<NA>,False,False,False,False,False,False
2026-01-01,Mr. Kotter,winter_warrior_2026,Snowman,Snowman ?,<NA>,0.0,<NA>,False,False,False,False,False,False
2026-01-02,Mr. Kotter,winter_warrior_2026,EC,2.77,2.77,2.77,<NA>,False,False,False,False,False,False
2026-01-02,Stitch,winter_warrior_2026,EC,2.7,2.7,2.7,<NA>,False,False,False,False,False,False
