warrior,Posts,Miles,Qs,F2nd,Qs_3rdF,Donations,Black_Diamonds,F3P_AO_count,F3P_AOs
Broomstick,5,3.47,0,0,0,0,2,3,"['black-diamond', 'the-olympiad', 'the-ridge']"
Chum Bucket,8,13.73,0,1,0,0,1,5,"['the-olympiad', 'the-ridge', 'the-silo', 'black-diamond', 'dmz']"
Dauber,7,13.71,1,0,1,0,0,3,"['the-olympiad', 'the-ridge', 'the-colosseum']"
Deja vu,11,7.32,1,2,0,0,1,2,"['the-ridge', 'black-diamond']"
Depends (3rdF Q),4,10.84,0,0,2,0,1,3,"['the-olympiad', 'black-diamond', 'ravens-nest']"
Dilly Dilly,3,19.2,1,0,0,0,0,1,['the-ridge']
Duck Hunt,12,15.65,1,0,0,0,3,3,"['el-coyote', 'black-diamond', 'da-grizz']"
Foghorn,4,4.4,1,0,1,0,2,3,"['black-diamond', 'the-grove', 'the-silo']"
Foreclosure,9,10.870000000000001,1,1,0,0,5,4,"['the-olympiad', 'black-diamond', 'the-silo', 'the-ridge']"
Mr. Kotter,10,18.11,0,2,0,1,1,7,"['el-coyote', 'the-colosseum', 'the-ridge', 'black-rock', 'ravens-nest', 'black-diamond', 'the-olympiad']"
Party in a bottle,5,3.0,2,1,0,0,0,3,"['the-ridge', 'the-colosseum', 'black-rock']"
Pull-up,7,18.02,2,0,1,0,1,4,"['the-ridge', 'the-grove', 'black-diamond', 'the-silo']"
Slackbot,7,7.32,7,0,0,0,0,0,[]
Sparkler,7,22.25,1,0,0,1,5,3,"['black-diamond', 'the-grove', 'the-silo']"
Spit Valve,7,8.7,5,0,0,0,0,3,"['the-colosseum', 'the-ridge', 'the-grove']"
Stitch,3,2.7,1,0,0,0,0,3,"['the-grove', 'the-silo', 'the-ridge']"
