user_id,user_name,min date,max date,post_count,Team,pick_order,FNGflag,notes
U073D5MRD4Z,Hat Trick,11-Jan-25,11-Jul-25,180,Vixen,17,0,Vixen
U02F2UV0MCL,Blue Gill,45668,45849,180,Vixen,9,0,Vixen
U016V6KHM36,Dilly Dilly,11-Jan-25,11-Jul-25,180,Vixen,13,0,Vixen
U048GCZ7GBY,Broomstick,11-Jan-25,11-Jul-25,214,Vixen,1,0,Vixen
U0171KQRB6D,vern,45668,45849,180,Vixen,15,0,Vixen
U016ZUU67BN,5-Putt,45668,45849,180,Vixen,17,0,Vixen
U0186PNUG3T,Hackman,45668,45848,180,Vixen,15,0,Vixen
U08TD9DD6M6,Scuba Steve,45668,45849,180,Vixen,17,0,Vixen
U016TRPRHKL,Den Mother,11-Jan-25,10-Jul-25,180,Vixen,1,0,Vixen
U05FZ4QEFG9,Tweety,11-Jan-25,11-Jul-25,180,Vixen,14,0,Vixen
U08QBC4F5C3,Fish Tape,11-Jan-25,11-Jul-25,180,Vixen,17,0,Vixen
U01ELRMAL7L,Quatro,45668,45849,180,Vixen,17,0,Vixen
U07EJ6173S6,Ginga,11-Jan-25,11-Jul-25,180,Vixen,6,0,Vixen
U07CY9BC4UV,Hydrant,11-Jan-25,11-Jul-25,180,Vixen,1,0,Vixen
U075Y87RK8W,Ollie,11-Jan-25,11-Jul-25,180,Vixen,17,0,Vixen
U09KYM9V279,Dipstick,45668,45849,180,Vixen,17,0,Vixen
U02A96W697X,Dauber,11-Jan-25,11-Jul-25,180,Comet,16,0,Comet
U03SX99V3PU,Meta,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U017QPPJVJ5,Bob Villa,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U06H3QB4KMY,Mahomes,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U016M1Z8NLE,Happy Camper,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U02H51CJS30,Pull-up,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U04RQB0TXFS,Hot Lava,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U058SP7GRJ6,Hatchet (Lizard Q),11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U05C8DP6YS0,Algorithm,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U04U8EGCQS1,Manhole,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U05FDSP0YD7,Peterbilt,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U092LRKGN2E,Pearl,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U017G15HA92,DJ Sump Pump,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U078VQE2ULB,Wing Stop (F3 Naperville),11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U07H6LVJHKK,Frontier,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U085PLQU2F4,Shankapotomus,11-Jan-25,11-Jul-25,180,Comet,0,0,Comet
U077RQMTNG3,Celine Dion,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U06TFS9Q7UL,Ricola,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U056VUVJ63D,Napster,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U03TX17L7AQ,Foreclosure,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U09AH747KEF,Italian Ice,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U03T43SBJNA,Homer Simpson,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U03KV19V5JS,Cowbell,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U09N749ET09,Underdog,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U01B8FLBHKP,Nickelback,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U03DP9WRXJN,Backstreet,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U03FQ2U8UJK,Mapquest,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U020A3PMS14,Ringo,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U06J46ZTPEZ,Folgers,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U017X9WAQ9Y,BoilerUp,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U09BBJ81140,Slapshot,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U09CJQ6NV6Y,Spud,11-Jan-25,11-Jul-25,180,Rudolph,0,0,Rudolph
U05QJRZNQHH,Corner Kick,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U03765UPB8C,Chum Bucket,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U04H3PWJN5A,Juanita,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U05ULCL3806,Mr. Kotter,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U016890PYHM,Bedpan,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U020A7W78FQ,Mr. Belding,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U017E4NMFQV,Hanger,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U07LY4K586M,Moist,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U07GJC6UG1Z,Celler Dweller,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U041R4GK79V,fuzzy navel,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U01ANAL4DUL,Storm Chaser,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U017BQTUL3D,John Denver,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U05UDL3EVGR,Peashooter,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U016VPSQSFR,Trickle,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U07UKT9J213,Large Marge,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U081S4SDQEB,HGTV,11-Jan-25,11-Jul-25,180,Donner,0,0,Donner
U06A1RN2DQF,Hank Hill,11-Jan-25,11-Jul-25,180,Prancer,0,0,Prancer
U051330RY2J,Depends (3rdF Q),11-Jan-25,11-Jul-25,180,Prancer,0,0,Prancer
